﻿Modèle,SN,N° Chargeur,Propriétaire,Statut,Garanti,Contrat,Commentaires,Date Garantie,Provenance,Date,Dernière modification,Dernière modification par
HP 240/245 G8,5CG1304QDN,57,,Stage,Aucune,Non,Stage Estonien,,XEFI,,18 septembre 2024 08:10,Yoann Letacq
HP 240/245 G8,5CG1485TWQ,45,alebourg (https://www.notion.so/alebourg-03e1608acd3946759316200741c154df?pvs=21),Promo P1 - 2024,Aucune,Non,," 10/02/2022 -  09/02/2023",XEFI,,2 septembre 2024 09:06,Vivien
HP 240/245 G8,5CG1485TW7,43,jpiou (https://www.notion.so/jpiou-6d14f26bb17f45b3b570e29568963154?pvs=21),Promo P1 - 2024,Aucune,Non,," 17/03/2022 -  16/03/2023",XEFI,,2 septembre 2024 08:53,Yoann Letacq
HP 240/245 G8,5CG1304QDF,,,À RESET,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,30 août 2024 14:31,Vivien
ASUS S14,R1N0CV12L061059,16,msaintvi (https://www.notion.so/msaintvi-8f8b0511f9fd45beabde35b79ecc0d35?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,30 août 2024 14:30,Vivien
ASUS R515EA,N3N0CV22P74013C,,,Disponible,Aucune,Non,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,28 août 2024 17:15,Vivien
ASUS R515EA,N3N0CV22P733136,,,Disponible,Aucune,Non,,"Constructeur 2 ans Jusqu'au 31/01/2025, Facture : 31/01/2023
",LDLC,,28 août 2024 16:40,Vivien
ASUS S14,R1N0CV12L001057,20,abutel (https://www.notion.so/abutel-872071efa6f2486b80d28afe88810bce?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,28 août 2024 15:59,Lagrue Bastien
ASUS S14,R1N0CV12L219054,19,clafory (https://www.notion.so/clafory-d8c515a5bd574744bee55e35d141c611?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,28 août 2024 15:55,Lagrue Bastien
ASUS S14,R1N0CV12L26905G,18,ldelamare (https://www.notion.so/ldelamare-99c9408265b24b28b95eaab2f3de87f5?pvs=21),À RESET,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,28 août 2024 14:49,Vivien
HP 240/245 G8,5CG1304QDK,,,Disponible,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,28 août 2024 11:15,Vivien
ASUS R515EA,N3N0CV22P76213A,,,Promo 2022,Application,Oui,Prêt Théo Dubois pour exo DevOps,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,6 septembre 2024 16:50,Vivien
HP 240/245 G8,5CG1304QFK,,hassouab (https://www.notion.so/hassouab-93a28360a014463e9e81756d69a8c586?pvs=21),"Piscine, Vol",Aucune,Non,"Piscine Octobre 23, Aucun retour (contact & contact urgence)"," 28/10/2021 -  27/10/2022",XEFI,,24 août 2024 14:29,Vivien
HP 240/245 G8,5CG1485TVY,53,blisrin (https://www.notion.so/blisrin-d6f6c5b679ff4167a9e96d5d156a34db?pvs=21),Stage,Aucune,Non,Lisrin Bastien Stage," 08/02/2022 -  07/02/2023",XEFI,,9 septembre 2024 12:02,Vivien
HP 240/245 G8,5CG1485TW4,70,,Stage,Aucune,Non,Stage Estonien," 08/02/2022 -  07/02/2023",XEFI,,18 septembre 2024 08:11,Yoann Letacq
HP 240/245 G8,5CG1485TW5,65,,À RESET,Aucune,Non,," 08/02/2022 -  07/02/2023",XEFI,,23 août 2024 18:02,Vivien
LDLC SPC-I,SN100092811,11,ykouassi (https://www.notion.so/ykouassi-e899caca48e94da298593550a6efd635?pvs=21),Piscine,Aucune,Non,Revient piscine 5 Juillet EST REVENU ???? / Relance parent 23/08,"3 ans, Jusqu'en février 2027",LDLC,,23 août 2024 16:49,Vivien
HP 240/245 G8,5CG1304QD4,,ikhemila (https://www.notion.so/ikhemila-4107380a0ecc47fb8d4c5b563952e11b?pvs=21),Piscine,Aucune,Non,Ilyes Khemilia / Relance parent 23/08," 28/10/2021 -  27/10/2022",XEFI,,23 août 2024 16:48,Vivien
HP 240/245 G8,5CG1485TVN,73,nponcelet (https://www.notion.so/nponcelet-62184eb2349a4ce0a9d1a3ee44bd6160?pvs=21),Piscine,Aucune,Non,Nathanel Poncelet / Relancé 23/08," 10/02/2022 -  09/02/2023",XEFI,,23 août 2024 16:40,Vivien
HP 240/245 G8,5CG1304QDY,,,Disponible,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,20 août 2024 11:38,Vivien
HP 240/245 G8,5CG1304QCR,,,Disponible,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,20 août 2024 11:37,Vivien
HP 240/245 G8,5CG1485TW0,,,Disponible,Aucune,Non,," 08/02/2022 -  07/02/2023",XEFI,,20 août 2024 11:37,Vivien
HP 240/245 G8,5CG1485TVZ,,,Disponible,Aucune,Non,," 10/02/2022 -  09/02/2023",XEFI,,20 août 2024 10:50,Vivien
HP 240/245 G8,5CG1485TW1,61,mtliche (https://www.notion.so/mtliche-d7420b69abea459f842530c7da6ebbf2?pvs=21),Promo P1 - 2024,Aucune,Non,," 21/11/2022 -  20/11/2023",XEFI,,19 août 2024 16:15,Vivien
HP 240/245 G8,5CG1485TW9,63,hpierrac (https://www.notion.so/hpierrac-573c1eeed3fd4f46b2a7a70df95f1290?pvs=21),Promo P1 - 2024,Aucune,Non,," 17/03/2022 -  16/03/2023",XEFI,,19 août 2024 16:06,Vivien
HP 240/245 G8,5CG1304QDL,77,avalaune (https://www.notion.so/avalaune-637b9bf9e7744e42b8e806555967339c?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,19 août 2024 16:05,Vivien
NB50TZ,V@-AYX-120123-032,,,Problème,Aucune,Non,"Dalle HS (MAGREZ Arthur) ","1 an, Jusqu'au 24/01/2024",WeeeFund,,19 août 2024 14:18,Vivien
HP 240/245 G8,5CG1304QCQ,,,Problème,Aucune,Non,"Problème Batterie "," 28/10/2021 -  27/10/2022",XEFI,,19 août 2024 14:17,Vivien
HP 240/245 G8,5CG1485TV9,,,Problème,Aucune,Non,"Problème lors de l’installation (I/O?)  "," 08/02/2022 -  07/02/2023",XEFI,,19 août 2024 14:17,Vivien
HP 240/245 G8,5CG1485TWT,,,Problème,Aucune,Non,Carte réseau morte," 17/03/2022 -  16/03/2023",XEFI,,19 août 2024 14:17,Vivien
ASUS S14,R1N0CV12L28505D,,adoublet (https://www.notion.so/adoublet-dc552b31a6594029a9b5358916d888a9?pvs=21),"Problème, Promo P2 - 2023",Chèque,Oui,"S’éteint et ne se rallume plus après un certain temps ","2 ans, Jusqu'au 25/05/2025",Darty,,19 août 2024 14:16,Vivien
